Enterprise_id,Label,Registered_capital (Ten thousand Yuan),Province,Enterprise_type,Establishment_Duration (Days),Paid_in_capital (Ten thousand Yuan),Sector,SH_num,MS_num,CL_5years+,CL_5years,CL_4years,CL_3years,CL_2years,CL_1year,Branch_num,Certificate_num_5years+,Certificate_num_5years,Certificate_num_4years,Certificate_num_3years,Certificate_num_2years,Certificate_num_1year,Executee_num_5years+,Executee_num_5years,Executee_num_4years,Executee_num_3years,Executee_num_2years,Executee_num_1year,Overdue_tax_num_3years,Overdue_tax_num_2years,Overdue_tax_num_1year,Administrative_penalty_num_5years,Administrative_penalty_num_4years,Administrative_penalty_num_3years,Administrative_penalty_num_2years,Administrative_penalty_num_1year,Trademark_info_num_5years+,Trademark_info_num_5years,Trademark_info_num_4years,Trademark_info_num_3years,Trademark_info_num_2years,Trademark_info_num_1year,Patent_info_num_5years+,Patent_info_num_5years,Patent_info_num_4years,Patent_info_num_3years,Patent_info_num_2years,Patent_info_num_1year,Work_copyright_info_num_5years+,Work_copyright_info_num_5years,Work_copyright_info_num_4years,Work_copyright_info_num_3years,Work_copyright_info_num_2years,Work_copyright_info_num_1year,Software_copyright_info_num_5years+,Software_copyright_info_num_5years,Software_copyright_info_num_4years,Software_copyright_info_num_3years,Software_copyright_info_num_2years,Software_copyright_info_num_1year,t-1 Basic old-age insurance for urban employees,t-2 Basic old-age insurance for urban employees,t-3 Basic old-age insurance for urban employees,t-1 Unemployment insurance,t-2 Unemployment insurance,t-3 Unemployment insurance,t-1 Basic medical insurance for employees,t-2 Basic medical insurance for employees,t-3 Basic medical insurance for employees,t-1 Employment injury insurance,t-2 Employment injury insurance,t-3 Employment injury insurance,t-1 Birth insurance,t-2 Birth insurance,t-3 Birth insurance,Legal_proceedings_num_5years+,Legal_proceedings_num_5years,Legal_proceedings_num_4years,Legal_proceedings_num_3years,Legal_proceedings_num_2years,Legal_proceedings_num_1year,Filing_information_num_5years+,Filing_information_num_5years,Filing_information_num_4years,Filing_information_num_3years,Filing_information_num_2years,Filing_information_num_1years,Ratepaying_Credit_Grade_A_num
394.0,0,1000.0,Guandong,Limited liability company (Natural person investment or holding),1115.0,1000.0,Scientific research and technology services,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395.0,0,1000.0,Guandong,Limited liability company (Natural person investment or holding),1020.0,19.24,Construction industry,2.0,2.0,0.0,0.0,0.0,0.0,9.0,3.0,,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396.0,1,1000.0,Guandong,Limited liability company (Natural person investment or holding),1047.0,0.0,Construction industry,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,,5.0,0.0,,5.0,0.0,,5.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397.0,0,3800.0,Guandong,Limited liability company (sole proprietorship of natural person),5335.0,1202.0,Construction industry,1.0,2.0,12.0,0.0,4.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,35.0,35.0,0.0,35.0,35.0,0.0,35.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
398.0,0,16888.0,Guandong,Limited liability company (Natural person investment or holding),2241.0,0.0,Construction industry,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,9.0,16.0,13.0,9.0,16.0,13.0,9.0,16.0,13.0,9.0,16.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399.0,0,5000.0,Guandong,Limited liability company (Natural person investment or holding),1637.0,0.0,Wholesale and retail,2.0,2.0,0.0,0.0,4.0,2.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,27.0,22.0,36.0,27.0,22.0,0.0,0.0,0.0,36.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
400.0,0,1000.0,Guandong,Limited liability company (Natural person investment or holding),2580.0,5.0,"Information transmission, software and information technology services",3.0,2.0,7.0,0.0,14.0,2.0,7.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,17.0,0.0,8.0,9.0,6.0,8.0,9.0,6.0,8.0,9.0,6.0,8.0,9.0,6.0,8.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
401.0,0,1066.0,Guandong,Limited liability company (Natural person investment or holding),3141.0,100.0,"Information transmission, software and information technology services",2.0,2.0,6.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,9.0,8.0,7.0,9.0,8.0,7.0,9.0,8.0,7.0,9.0,8.0,7.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
402.0,0,2018.0,Guandong,Limited liability company (Natural person investment or holding),1081.0,802.5,Construction industry,7.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,96.0,,44.0,96.0,,44.0,96.0,,44.0,96.0,,44.0,96.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
403.0,0,5000.0,Guandong,Limited liability company (Natural person investment or holding),1009.0,2500.0,Construction industry,2.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,,6.0,4.0,,6.0,4.0,,6.0,4.0,,6.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
